問題文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解,科目分類,リンクURL
"76歳の男性。咀嚼困難を主訴として来院した。2年前に下顎区域切除術とプレートによる再建術を受けたが、1年前に感染によってプレートを除去し、その後、次第に咬合が不安定になったという。診察の結果、上顎へ補綴装置を製作することとした。術直後のエックス線画像(A)と来院時の口腔内写真(B)を示す。
装置の製作に際して考慮すべきことはどれか。2つ選べ。[119C57-ori]",習慣性咀嚼側は右側とする。,顔貌の対称性の回復を目指す。,偏位した位置で咬合採得を行う。,下顎位の健側への偏位を防止する。,装置には下顎歯列の圧痕を付与する。,35,全部床義歯学臨床実地,https://drive.google.com/file/d/1qePnjNL_iCnerhoyApLDXSB1XN2b_dG3/view?usp=drive_link
顔面神経に支配されるのはどれか。1つ選べ。[119C58-ori],鼓膜張筋,茎突咽頭筋,茎突舌骨筋,口蓋帆張筋,顎二腹筋前腹,c,解剖組織学一般,
"24歳の男性。上顎前歯部の審美不良を主訴として来院した。診察の結果、上顎右側中切歯にクラウンを製作することとした。支台歯形成後(A)とコーピング試適時の口腔内写真(B)を示す。
この後に行うのはどれか。2つ選べ。[119C59-ori]",グレージング,CAMによる加工,コーピングの焼成,歯冠色陶材の築盛,ディギャッシング,14,冠橋義歯学臨床実地,https://drive.google.com/file/d/1yDFij2HCSUJx_F7E5_1ZeJ6UvjEpnxRR/view?usp=drive_link
"固定性ブリッジ製作中の口腔内写真を示す。
適切なポンティック基底面形態はどれか。2つ選べ。[119C60-ori]",鞍状型,船底型,偏側型,離底型,リッジラップ型,35,冠橋義歯学一般,https://drive.google.com/file/d/1GHj2Iww4bDRcnuDxAKzT8Z1x4ml1R115/view?usp=drive_link
"28歳の女性。上顎前歯部の審美不良を主訴として来院した。診察の結果、コンポジットレジン修復を行うこととした。初診時の口腔内写真を示す。
形態回復で留意するのはどれか。3つ選べ。[119C61-ori]",隅角徴,歯冠豊隆,辺縁封鎖性,歯間鼓形空隙,頬側寄り1/3での接触点,124,保存修復学臨床実地,https://drive.google.com/file/d/1maZ7cWFsG1wYyfeCRpwt4VMOyJWUHgGK/view?usp=drive_link
"39歳の女性。かかりつけ歯科医で指摘された下顎左側臼歯部のエックス線不透過像の精査を希望して来院した。自覚症状はなく、腫脹も認めない。初診時のエックス線画像(A)と歯科用コーンビームCT(B)を示す。
疑われるのはどれか。1つ選べ。[119C62-ori]",歯牙腫,硬化性骨炎,線維性異形成症,化膿性下顎骨骨髄炎,セメント質骨性異形成症,e,口腔外科学臨床実地,https://drive.google.com/file/d/1P-YwJ2dw8LinyzJVf2xzS1h1uepC7uFl/view?usp=drive_link
"嚥下障害を訴える舌腫瘍術後の患者に装着した装置を示す。
この装置を用いて行われるのはどれか。1つ選べ。[119C63-ori]",経済的アプローチ,心理的アプローチ,代償的アプローチ,治療的アプローチ,環境改善アプローチ,c,部分床義歯学一般,https://drive.google.com/file/d/1ux66cc2KK_Rz8oQOup3m9nyG7GijTdDs/view?usp=drive_link
"86歳の男性。上顎右側臼歯部の疼痛を主訴として来院した。2か月前に自覚し、徐々に増悪してきたという。心房細動、2型糖尿病、慢性腎臓病の既往があり、直接トロンビン阻害薬とスルホニル尿素薬を服用している。診察の結果、上顎右側第二小臼歯の抜去を行うこととした。初診時のエックス線画像を示す。医科への対診による血液検査の結果を表に示す。
抜歯時の適切な対応はどれか。2つ選べ。[119C64-ori]",血小板の補充,PT-INRの測定,当日の食事摂取状況の確認,アモキシシリン水和物の減量投与,酸性非ステロイド性抗炎症薬の投与,34,口腔外科学臨床実地,https://drive.google.com/file/d/1VeSDDdw409XH5epyVM8gHR8crvLPWFpV/view?usp=drive_link
"歯科疾患実態調査の結果におけるある項目の推移を図に示す。
この項目に該当するのはどれか。1つ選べ。[119C65-ori]",齲歯の無い者の割合,ブリッジ装着者の割合,歯肉出血を有する者の割合,20本以上の歯を有する者の割合,4mm以上の歯周ポケットを有する者の割合,d,衛生学一般,https://drive.google.com/file/d/1MqR9lRFVn0i9Um4hJHWJs-gKIKEHdDS7/view?usp=drive_link
口腔粘膜疾患とその原因の組合せで正しいのはどれか。2つ選べ。[119C66-ori],黒毛舌　ー　遺伝子変異,天疱瘡　ー　自己抗体産生,手足口病　ー　ウイルス感染,口腔カンジダ症　ー　細菌感染,壊死性潰瘍性口内炎　ー　物理的刺激,23,病理学一般,https://drive.google.com/file/d/16f8teqhTGyWcHkIC5PfU3K-BS1SjPBO_/view?usp=drive_link
"59歳の男性。かかりつけ歯科医で指摘された下顎左側のエックス線異常像の精査を希望して来院した。3年前に初めて左側顎下部の腫脹と疼痛を自覚して、その後も時々繰り返しているという。初診時のエックス線画像(A、B)、骨表示CT横断像(C)及び軟組織表示CT横断像(D)を示す。
画像から得られる所見はどれか。2つ選べ。[119C67-ori]",骨折,骨膜反応,唾液の停滞,咽頭腔の偏位,異所性石灰化物,35,歯科放射線学臨床実地,https://drive.google.com/file/d/10-pxxjt7WqkPrxJkKfSggkb6xgwAu8yo/view?usp=drive_link
"9歳の女児。近医で下顎右側第一大臼歯の位置異常を指摘され来院した。診断の結果、⑥⏋の遠心移動を行うこととした。初診時の口腔内写真(A)とエックス線画像(B)を示す。
⑥⏋遠心移動後の対応はどれか。1つ選べ。[119C68-ori]",E D⏋抜去後、保隙,D⏋抜去後、E⏋牽引,D⏋抜去後、経過観察,E D⏋抜去後、経過観察,D⏋近心移動後、E⏋抜去,a,小児歯科学臨床実地,https://drive.google.com/file/d/1BtJIZe9MS2eb6UZgScHx_9gGKecq-v06/view?usp=drive_link
"水平位で歯科治療を終えた患者が立ち上がった際に、立ちくらみを起こした。
原因はどれか。1つ選べ。[119C69-ori]",筋収縮力の低下,静脈還流量の減少,体液の浸透圧の低下,動脈血酸素飽和度の低下,前庭器官の内リンパ液の増加,b,生理学一般,
"左側顎部郭清術後、経口摂取を開始したところ、ドレーン内容液の白濁を認めた。胸管からの漏出液と診断した。ドレーン内容液の写真を示す。
白濁を呈する主な成分はどれか。1つ選べ。[119C70-ori]",脂質,無機質,炭水化物,ビタミン,タンパク質,a,口腔外科学一般,https://drive.google.com/file/d/1W-FRbWyIqL3u4bj100lF64nrOF0Rx9aA/view?usp=drive_link
"ブラケットの写真を示す。
咬頭頂からの距離を測る基準線はどれか。1つ選べ。[119C71-ori]",ア,イ,ウ,エ,オ,b,歯科矯正学一般,https://drive.google.com/file/d/15bTci_Drlyfilo2FkOkVYqtVzypVKHND/view?usp=drive_link
"接着性モノマーと被着体との結合様式を模式図に示す。このモノマーは、加水分解後、脱水縮合で結合している。
該当するのはどれか。1つ選べ。[119C72-ori]",MDP,MMA,γ-MPTS,Bis-GMA,VBATDT,c,歯科理工学一般,https://drive.google.com/file/d/1BNRQ0MFA_28sPlTGLb4RzlKEKG3hmMPW/view?usp=drive_link
施設とその根拠法の組合せで正しいのはどれか。2つ選べ。[119C73-ori],保育所　ー　母子保健法,特別支援学校　ー　学校教育法,介護老人福祉施設　ー　介護保険法,口腔保健支援センター　ー　地域保健法,周産期母子医療センター　ー　児童福祉法,23,衛生学一般,https://drive.google.com/file/d/1XLY8xS2WtDuCXU495ooBe9xdJvbgGo9U/view?usp=drive_link
口臭の予防を目的として洗口剤に配合されるのはどれか。1つ選べ。[119C74-ori],塩化亜鉛,エタノール,ソルビトール,ポリエチレングリコール,モノフルオロリン酸ナトリウム,a,衛生学一般,
"6歳の男児。前歯の歯並びが悪いことを主訴として来院した。口腔外科での手術の既往がある。初診時の顔面写真(A)、口腔内写真(B)、エックス線画像(C)及び歯科用コーンビームCT(D)を示す。セファロ分析の結果を図に示す。
適切な矯正装置はどれか。1つ選べ。[119C75-ori]",急速拡大装置,チンキャップ,アクチバトール,上顎顎外固定装置,上顎前方牽引装置,e,歯科矯正学臨床実地,
乳歯のコンポジットレジン冠修復で用いるのはどれか。2つ選べ。[119C76-ori],Tバンド,ウェッジ,金冠バサミ,クラウンフォーム,ポリエステル製マトリックス,34,小児歯科学一般,https://drive.google.com/file/d/1RDSRXSvDOXm-i2F-nRv9jiMkG9ZgMbT6/view?usp=drive_link
内側性暫間固定はどれか。1つ選べ。[119C77-ori],連続レジン冠固定,ワイヤーレジン固定,オクルーザルスプリント,ワイヤー結紮レジン固定,エナメルボンディングレジン固定,b,口腔外科学一般,
陶材焼付用金合金と金属焼付用陶材との比較で、陶材が大きな値となるのはどれか。2つ選べ。[119C78-ori],硬さ,密度,弾性係数,引張強さ,熱膨張係数,13,歯科理工学一般,https://drive.google.com/file/d/1ZGWI5psO7gpJt8RPsOdCDUmvYB85EqFn/view?usp=drive_link
"67歳の女性。上顎前歯の審美不良を主訴として来院した。下顎には⑦⑥⑤④⏋に部分床義歯が装着されていた。診察の結果、⑤４③２①⏊①２③４⑤⑥にブリッジを製作することとした。プロビジョナルブリッジ装着時の口腔内写真(A)、製作した作業用模型とインターオクルーザルレコードの写真(B)及び製作したフレームワークの写真(C)を示す。
この後に行う操作のうち、3番目に行うのはどれか。1つ選べ。[119C79-ori]",歯冠形態の修正,アルミナサンドブラスト処理,オペークレジンの塗布と重合,金属接着性プライマーの塗布,デンティン色レジンの築盛と重合,c,冠橋義歯学臨床実地,https://drive.google.com/file/d/1Jk5NHegwPj-YWU1-OGNuTTvZ42R7NTrr/view?usp=drive_link
セツキシマブの標的分子はどれか。1つ選べ。[119C80-ori],CD20,EGFR,HER2,PD-1,VEGF,b,薬理学一般,
"ブラッシング指導に用いる補助ツールを示す。
このツールによってブラッシング指導の効果が期待される疾患はどれか。1つ選べ。[119C81-ori]",脳性麻痺,統合失調症,Parkinson病,Alzheimer病,自閉スペクトラム症,e,衛生学一般,https://drive.google.com/file/d/10yFSbXLROa8qmHZ8UWRu57HLY3QtDslN/view?usp=drive_link
歯髄保存療法と使用する材料・医薬品の組合せで正しいのはどれか。2つ選べ。[119C82-ori],間接覆髄法　ー　MTAセメント,生活断髄法　ー　水酸化カルシウム製剤,直接覆髄法　ー　タンニン・フッ化物合剤配合 ポリカルボキシレートセメント,暫間的間接覆髄法　ー　テトラサイクリン塩酸塩,歯髄鎮痛消炎療法　ー　酸化亜鉛ユージノールセメント,25,歯内療法学一般,https://drive.google.com/file/d/1-6YisAKbB0IJYnvsgRLb_g-J96irXYSS/view?usp=drive_link
"9歳の女児。上顎右側側切歯の形態異常を主訴として来院した。歯髄電気診で生活反応を示し、盲孔にリーマーを挿入しても疼痛はない。初診時の口腔内写真(A)とリーマー挿入時のエックス線画像(B)を示す。
2⏌への適切な対応はどれか。1つ選べ。[119C83-ori]",抜髄,経過観察,生活断髄,予防塡塞,感染根管治療,d,小児歯科学臨床実地,https://drive.google.com/file/d/1RGErcbaJTgqb9htbns-XGi10fwR2UZ_3/view?usp=drive_link
皮膚付属器を含むのはどれか。2つ選べ。[119C84-ori],歯肉囊胞,類皮囊胞,Koplik斑,Fordyce斑,歯原性角化囊胞,24,病理学一般,https://drive.google.com/file/d/1cyHSKNXSIWuhhs9ChsCbDsoyUNp8T-F4/view?usp=drive_link
"ある装置の写真を示す。模型台の傾斜板に研究用模型を装着後、部分床義歯の支台歯を検査することとした。
次に示す5つの操作のうち、3番目に行うのはどれか。1つ選べ。[119C85-ori]",鉤尖位置の記入,義歯着脱方向の決定,サベイラインの記入,アンダーカット量の測定,模型台の傾斜板の位置固定,c,部分床義歯学一般,https://drive.google.com/file/d/1s5sD8wlC1oqBR5dDguJJCTfQXlgA_M9k/view?usp=drive_link
象牙質知覚過敏症の診断に有効なのはどれか。2つ選べ。[119C86-ori],触診,温度診,透照診,レーザー蛍光強度測定,光干渉断層画像診断法〈OCT法〉,12,保存修復学一般,https://drive.google.com/file/d/1e5tXPjNUxG-3m6DaGB_Z_AZiwh2rkrDC/view?usp=drive_link
"18歳の女子。食べ物が咬みにくいことを主訴として来院した。幼少時から遺伝疾患を指摘されているという。知的障害があり、四肢に異常は認めない。初診時の口腔内写真(A)、パノラマエックス線画像(B)及びセファログラム(C)を示す。
疑われるのはどれか。1つ選べ。[119C87-ori]",Marfan症候群,Turner症候群,Crouzon症候群,鎖骨頭蓋骨異形成症,第一第二鰓弓症候群,c,口腔外科学臨床実地,https://drive.google.com/file/d/1HzQS3WMl12a1stbQOUXF-EB45Bwyu2b_/view?usp=drive_link
"20歳の女性。上顎前歯の前突を主訴として来院した。検査の結果、歯性上顎前突と診断した。Total discrepancyを算出した結果、上顎両側第一小臼歯、下顎両側第二小臼歯の抜去と上顎に最大の固定を設定することとし、装置を製作した。製作した装置(A)と製作手順(B)を示す。
製作手順を実施の順番に並べよ。
解答：①→②→③→④→⑤[119C88-ori]",ア,イ,ウ,エ,オ,34152,歯科矯正学臨床実地,https://drive.google.com/file/d/1l0fwMyHyla2p4YyFGCvGjYMAZafv2y7N/view?usp=drive_link
"83歳の女性。上下顎義歯の動揺と咀嚼時の疼痛を主訴として来院した。診察の結果、義歯を製作することとした。咬合床の写真(A)と義歯の治療過程の写真(B)を示す。
治療過程を実施の順番に並べよ。
解答：咬合床の製作→①→②→③→④→⑤→咬合器装着[119C89-ori]",ア,イ,ウ,エ,オ,53241,部分床義歯学臨床実地,https://drive.google.com/file/d/1VlD1pZ4LfVPgm7Jd0mACMcpNj4LCAqEw/view?usp=drive_link
"側面頭部エックス線規格画像と上下顎切歯歯軸の値を示す。ヘッドプレートコレクションの値を求めよ。
ただし、FMIAの基準値は57度とする。なお、小数点以下第2位を四捨五入すること。
解答：-①.②mm[119C90-ori]",,,,,,2,歯科矯正学一般,https://drive.google.com/file/d/1LGpGHuAL1aowb_53ga0fltY39OU9pnmT/view?usp=drive_link
習慣性口呼吸を伴う小児でみられるのはどれか。2つ選べ。[119D1-ori］,低位舌,鼻唇角の開大,上顎歯列弓の開大,下顎骨の後下方回転,下顎切歯の舌側傾斜,14,歯科矯正学必修,https://drive.google.com/file/d/1kB5u0PLfNrRrbj8KSVcazyKypZA3PLYQ/view?usp=drive_link
アドレナリン含有2%リドカイン塩酸塩によって症状が悪化するのはどれか。1つ選べ。[119D2-ori],緑内障,気管支喘息,消化性潰瘍,鉄欠乏性貧血,甲状腺機能亢進症,e,歯科麻酔学必修,
全身状態評価と検査項目との組合せで正しいのはどれか。1つ選べ。[119D3-ori],肝機能　―　クレアチニンクリアランス〈CCr〉,心機能　―　脳性ナトリウム利尿ペプチド〈BNP〉,腎機能　―　遊離サイロキシン〈FT₄〉,耐糖能　―　PT-INR,血液凝固能　―　ASO,b,生理学必修,
内分泌器官とその機能低下によって生じる疾患の組合せで正しいのはどれか。1つ選べ。[119D4-ori],下垂体　―　Cushing病,甲状腺　―　Basedow病,副甲状腺　―　クレチン病,副腎皮質　―　Addison病,副腎髄質　―　褐色細胞腫,d,病理学必修,
医療法に定める地域医療支援病院について正しいのはどれか。1つ選べ。[119D5-ori],救急医療を提供する。,厚生労働大臣が承認する。,高度の医療技術を開発する。,特定臨床研究に関する研修を行う。,三次医療圏を単位として整備を行う。,a,衛生学必修,
"上顎左側前歯部の口内法エックス線画像を示す。
矢印で示すのはどれか。1つ選べ。[119D6-ori]",鼻腔,上顎洞,切歯管,前鼻棘,鼻涙管,c,歯科放射線学必修,https://drive.google.com/file/d/1vFHDF2YIBpoQaCzhOJgSVu0QvdfZomZt/view?usp=drive_link
歯交代現象によって生じるのはどれか。1つ選べ。[119D7-ori],腸結核,偽膜性腸炎,クローン病,潰瘍性大腸炎,急性感染性胃腸炎,b,病理学必修,
"(　　 )provides volumetric data that can be reformatted to display multi-dimensional images with ionizing radiation. 
( 　　)に入るのはどれか。1つ選べ。[119D8-ori]",Ultrasonography,Panoramic radiography,Intra-oral radiography,Magnetic resonance imaging,Cone beam computed tomography,e,歯科放射線学必修,
Hellmanの歯齢で顎間空隙がみられるのはどれか。1つ選べ。[119D9-ori],IA期,IC期,IIA期,IIC期,IIIA期,a,小児歯科学必修,
システマティックレビューについて正しいのはどれか。1つ選べ。[119D10-ori],観察研究は対象外である。,診療ガイドラインに使用される。,論文を無作為抽出して評価する。,倫理審査委員会の事前承認が必須である。,国際的な品質マネジメントシステムの基準である。,b,衛生学必修,
リボソームRNAが合成されるのはどれか。1つ選べ。[119D11-ori],核小体,小胞体,ゴルジ装置,リソソーム,ミトコンドリア,a,生化学必修,
嚥下時に食道入口部を開大させる動作はどれか。1つ選べ。[119D12-ori],口唇閉鎖,喉頭の挙上,鼻咽腔閉鎖,舌尖と口蓋の接触,上咽頭収縮筋の収縮,b,生理学必修,
待機的診断法が適応となるのはどれか。1つ選べ。[119D13-ori],上行性歯髄炎,急性化膿性歯髄炎,急性単純性歯髄炎,慢性潰瘍性歯髄炎,慢性増殖性歯髄炎,c,歯内療法学必修,
Eichnerの分類C3症例における顔貌の特徴はどれか。1つ選べ。[119D14-ori],浅い鼻唇溝,口角の下垂,口唇の突出,赤唇の肥厚,人中の明瞭化,b,部分床義歯学必修,
ヘルスプロモーションの活動で最も重視されるのはどれか。1つ選べ。[119D15-ori],医薬品の備蓄,専門医の養成,病診連携の推進,検診による疾患の早期発見,健康教育による行動変容の支援,e,衛生学必修,
標準予防策〈standard precaution〉に基づく院内感染の予防で適切なのはどれか。1つ選べ。[119D16-ori],滅菌手袋の着用,歯周プローブの滅菌,HEPAフィルターによる排気,陰圧個室における患者の管理,患者の集団隔離(コホーティング),b,衛生学必修,
回転切削工具の直径(mm)と回転速度(rpm)の組合せで周速が最も大きいのはどれか。1つ選べ。[119D17-ori],"1　―　15,000","2　―　10,000","4　―　8,000","5　―　6,000","6　―　4,000",c,歯科理工学必修,
球麻痺患者にみられる摂食嚥下障害の特徴はどれか。1つ選べ。[119D18-ori],舌の不随意運動,嚥下反射誘発の遅延,患側の舌の知覚過敏,食道入口部の閉鎖不全,舌骨上筋群の緊張亢進,b,口腔外科学必修,
HBVの不活化に有用な消毒薬はどれか。1つ選べ。[119D19-ori],イソプロパノール,消毒用エタノール,次亜塩素酸ナトリウム,ベンザルコニウム塩化物,クロルヘキシジングルコン酸塩,c,微生物学必修,
歯の変色の原因はどれか。1つ選べ。[119D20-ori],食用色素,ヘモグロビン,ポリフェノール,フッ化ジアンミン銀,ストレプトマイシン硫酸塩,b,病理学必修,
上顎乳中切歯の萌出開始時期に獲得する運動機能〈粗大運動〉はどれか。1つ選べ。[119D21-ori],走る,寝返り,首がすわる,つかまり立ち,ボールを蹴る,b,小児歯科学一般,
"12歳の女児。前歯の歯並びが悪いことを主訴として来院した。初診時の顔面写真(A)、口腔内写真(B)、エックス線画像(C)及び歯科用コーンビームCT(D)を示す。セファロ分析の結果を図に示す。
適切な治療方針はどれか。3つ選べ。[119D22-ori]",上顎臼歯の圧下,正中離開の閉鎖,上顎右側側切歯の抜去,上顎右側乳犬歯の抜去,上顎右側大歯の開窓牽引,245,歯科矯正学臨床実地,https://drive.google.com/file/d/1sVODVQnSP7DkZEduRep42Y2Tuu2IP5C0/view?usp=drive_link
インプラント埋入後、プロビジョナルレストレーションに早期荷重をかける時期はどれか。1つ選べ。[119D23-ori],6時間後,2日後,1か月後,4か月後,6か月後,c,インプラント(補綴)一般,
"下顎左側大臼歯部のエックス線画像(A)と歯科用コーンビームCT(B)を示す。
エックス線画像に加えて、歯科用コーンビームCTで新たに明らかになった下顎左側第二大臼歯の所見はどれか。2つ選べ。[119D24-ori]",樋状根,根管イスムス,歯根内部吸収,垂直性歯根破折,根尖病変の頬舌的大きさ,15,歯内療法学一般,https://drive.google.com/file/d/1K-i2RNNgahciBYzCgTnYPxLpsl7wMrKN/view?usp=drive_link
局所麻酔薬中毒の初期症状はどれか。3つ選べ。[119D25-ori],徐脈,多弁,耳鳴り,めまい,血圧低下,234,歯科麻酔学一般,https://drive.google.com/file/d/16dwIx2Q-Hjc4Xor4I00ZHxaWYbNIrB25/view?usp=drive_link
"44歳の女性。右側顎関節部の開口時痛を主訴として来院した。2年前から関節音を自覚していたが、6か月前から音が消失し口が開きづらくなってきたという。顎関節部に腫脹と発赤はなく、最大開口量は38 mmである。初診時のエックス線画像(A)、CT(B)及び右側顎関節のMRI(C)を示す。
最も疑われるのはどれか。1つ選べ。[119D26-ori]",顎関節強直症,滑膜性軟骨腫症,痛風性顎関節炎,変形性顎関節症,急性化膿性顎関節炎,d,口腔外科学臨床実地,https://drive.google.com/file/d/1cEW5c6PKD6JkGQ1q1iHwR_06Hh5eXRjd/view?usp=drive_link
混合歯列期の不正咬合と矯正装置の組合せで正しいのはどれか。1つ選べ。[119D27-ori],骨格性開咬　―　バイオネーター,歯槽性開咬　―　咬合斜面板,機能性下顎前突　―　チンキャップ,機能性交叉咬合　―　拡大床,骨格性下顎前突　―　アクチバトール,d,歯科矯正学一般,
大連結子において、値が2倍になると荷重時のたわみが8倍になるのはどれか。1つ選べ。[119D28-ori],幅,厚さ,長さ,密度,弾性係数,c,部分床義歯学一般,
"ある硬化体の模式図を示す。
アの元素はどれか。1つ選べ。[119D29-ori]",Na,Mg,Ca,Cu,Sr,c,歯科理工学一般,https://drive.google.com/file/d/1iZfiUmbBjIhycXGT1O87lycXdu0z_mf6/view?usp=drive_link
"24歳の女性。上顎右側第一大臼歯の冷水痛を主訴として来院した。検査の結果、コンポジットレジン修復を行うこととした。初診時(A)と齲蝕除去後(B)の口腔内写真を示す。
次に行うのはどれか。2つ選べ。[119D30-ori]",隔壁設置,歯間分離,歯肉排除,隣接面保護,コーナーマトリックス設置,12,保存修復学臨床実地,https://drive.google.com/file/d/1nFWZkVv9G1LNHOw2j_G4KJBuEYMaRGze/view?usp=drive_link
3歳児の歯科診療において保護者が同席する利点で正しいのはどれか。1つ選べ。[119D31-ori],患児が精神的に安定する。,チェアタイムの短縮に繋がる。,治療内容の説明が省略できる。,保護者の口腔内環境が改善される。,患児との良好なラポールが形成できる。,a,小児歯科学一般,
災害時の死後デンタルチャート作成に必要なのはどれか。1つ選べ。[119D32-ori],メス,開口器,持針器,抜歯鉗子,歯周プローブ,b,衛生学一般,
ICDASにおける歯冠部齲蝕のコードの構成要素はどれか。3つ選べ。[119D33-ori],歯種,修復,活動性,進行状態,隣在歯の有無,234,衛生学一般,https://drive.google.com/file/d/1ptS86UBxe4uXT3ChNQgY9PHC98zNGc5_/view?usp=drive_link
"38歳の女性。下顎右側の咬合痛を主訴として来院した。5日前から自覚しているという。囊胞摘出術と歯根尖切除術を行うこととした。初診時のパノラマエックス線画像(A)、歯科用コーンビームCT(B)及び処置中の口腔内写真(C)を示す。
次回来院時に行うべきなのはどれか。1つ選べ。[119D34-ori]",舌圧検査,SWテスト,感染根管治療,栓塞子の装着,濾紙ディスク法,b,口腔外科学臨床実地,https://drive.google.com/file/d/16EqcjfwSSyug0x9RlS2k5GlXE1rPRMdB/view?usp=drive_link
"84歳の男性。摂食嚥下機能の精査を希望して近医からの紹介があり家族とともに来院した。4年前に脳梗塞を発症してから食事量が減少していたがそのままにしていたところ、2か月前に誤嚥性肺炎を発症して気管切開が行われ、現在も気管カニューレが挿入されている。誤嚥性肺炎発症後、栄養は胃瘻で管理されている。口腔内の診察では、特記すべき問題がなかった。嚥下造影検査時、嚥下後のむせは認められなかった。嚥下障害のスクリーニングの結果を表に示す。とろみ付き液体嚥下時の嚥下造影検査の写真を示す。
摂食嚥下機能の管理にあたって注意すべきなのはどれか。2つ選べ。[119D35-ori]",気道狭窄,不顕性誤嚥,絞扼反射の消失,誤嚥物の喀出困難,唾液分泌量の増加,24,衛生学臨床実地,https://drive.google.com/file/d/149CV5Q5Joai4BBWg0Qwv9JGAnBbkUmI_/view?usp=drive_link
吹き抜け骨折でみられるのはどれか。3つ選べ。[119D36-ori],複視,鼻出血,開口障害,嗅覚障害,上唇の知覚異常,125,口腔外科学一般,https://drive.google.com/file/d/1sq5KY1Kfs-UCJMmGwko1PVZGrHNGt__i/view?usp=drive_link
心電図検査が診断に必要なのはどれか。3つ選べ。[119D37-ori],WPW症候群,急性冠症候群,洞不全症候群,仰臥位低血圧症候群,Stevens-Johnson症候群,123,歯科麻酔学一般,https://drive.google.com/file/d/1KlV9YLBwESOMGrOKdd6hi4IUJO0IQtvv/view?usp=drive_link
歯周病の宿主因子で炎症増悪因子はどれか。1つ選べ。[119D38-ori],歯石,根面溝,歯肉退縮,歯列不正,食片圧入,e,歯周病学一般,
初めて歯科を受診する小児に有効な対応法はどれか。1つ選べ。[119D39-ori],タイムアウト法,Tell-Show-Do法,フラッディング法,レスポンスコスト法,ハンドオーバーマウス法,b,小児歯科学一般,
義歯着脱の自立度の評価を含むのはどれか。1つ選べ。[119D40-ori],BDR,BMI,CDR,FIM,SGA,a,衛生学一般,
頭蓋内腫瘍が関与するのはどれか。3つ選べ。[119D41-ori],顔面痙攣,Frey症候群,舌下神経麻痺,症候性三叉神経痛,Ramsay Hunt症候群,134,口腔外科学一般,https://drive.google.com/file/d/1ckY_CKaTLWcApNYV3aF-uxb5N46TGxg1/view?usp=drive_link
"18歳の女子。開鼻声を主訴として来院した。他院で左側唇顎口蓋裂の診断下に治療を行っていたという。軟口蓋の長さや形態は良好である。口腔内写真(A、B)、発声時の検査の写真(C)及び正常時と母音発声時の鼻咽腔の内視鏡検査時の写真(D、E)を示す。
次に行うのはどれか。1つ選べ。[119D42-ori]",口蓋形成術,顎矯正手術,瘻孔閉鎖術,咽頭弁移植術,顎裂部骨移植術,d,口腔外科学臨床実地,https://drive.google.com/file/d/1aVTUbulDl90u3x8lk-byWBuz_FpW0Dlp/view?usp=drive_link
間接覆髄法とIPC法で共通するのはどれか。2つ選べ。[119D43-ori],覆髄剤の除去,裏層材の使用,ラバーダム防湿の実施,感染象牙質の意図的残置,ケミカルサージェリーの実施,23,保存修復学一般,https://drive.google.com/file/d/1OtbAxRrPfWIyJIZD9E9f6bVcVuzTONqj/view?usp=drive_link
粘弾性的性質を示すのはどれか。2つ選べ。[119D44-ori],ポリスルフォン,アクリル系軟質リライン材,クリームタイプ義歯安定剤,シリコーン系軟質リライン材,ティッシュコンディショナー,25,歯科理工学一般,https://drive.google.com/file/d/1i1TIoa0FrgbkXw1bA-jENFBVtUKBeKWc/view?usp=drive_link
"43歳の女性。右側上顎腫瘍手術後に生じた欠損部への装置の製作を希望して来院した。3週間前に口腔外科にて手術を受けたという。診察の結果、装置を製作することとした。なお、下顎残存歯列は左右側第二大臼歯部まで認められる。手術後の口腔内写真を示す。
装置の設計において留意すべきことはどれか。2つ選べ。[119D45-ori]",顎欠損部に人工歯排列を作る。,顎欠損部で緊密な咬合支持を付与する。,顎欠損部のアンダーカットを維持に用いる。,顎欠損部を閉鎖して口腔と鼻腔を遮断する。,上顎左側の残存歯列に支台装置を設置する。,15,部分床義歯学臨床実地,https://drive.google.com/file/d/1Yis8gnKYIxeyBP7rGsIznt_J_D6hca8z/view?usp=drive_link
"56歳の女性。下顎左側大臼歯部の腫脹を主訴として来院した。下顎エナメル上皮腫の診断で全身麻酔下に外科手術を施行することとした。全身麻酔を導入し気管挿管後、聴診で喘鳴を認めた。このときの生体情報モニタ画面を示す。
投与すべき薬剤はどれか。1つ選べ。[119D46-ori]",サルブタモール硫酸塩,ネオスチグミン臭化物,モルヒネ塩酸塩水和物,スガマデクスナトリウム,チアミラールナトリウム,a,歯科麻酔学臨床実地,https://drive.google.com/file/d/1FSk2hGXocFSj5JodrYfWz2YizzMSw-mV/view?usp=drive_link
右心不全の症状はどれか。2つ選べ。[119D47-ori],肝腫大,肺水腫,下腿浮腫,起座呼吸,呼気性喘鳴,13,歯科麻酔学一般,https://drive.google.com/file/d/1sjBW3P3tpIi71PCuFwUvLv0Q1-TSrZG5/view?usp=drive_link
ニューキノロン系抗菌薬と併用するとけいれんを起こすことがあるのはどれか。1つ選べ。[119D48-ori],リドカイン塩酸塩,イソプレナリン塩酸塩,モルヒネ塩酸塩水和物,アトロピン硫酸塩水和物,ロキソプロフェンナトリウム水和物,e,薬理学一般,
